File Name,Version,Size,Number of Smells,Churn,Max Churn,Avg Churn,Chg Set Size,Max Chg Set Size,Avg Chg Set Size,LOC Added,MAX LOC Added,AVG LOC Added,Number of Revisions,Number of Authors,Age in Weeks,Total Lines Touched,Weighted Age,Number of bugs
src/main/java/org/apache/tika/parser/xml/XMLParser.java,0.1-incubating,208,2,-73,1,-14.6,75,52,22.6,82,73,16.4,6,2,68,237,0.286919831,Yes
src/test/java/org/apache/tika/mime/MimeTypeTest.java,0.1-incubating,110,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,Yes
src/main/java/org/apache/tika/mime/MagicClause.java,0.1-incubating,52,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,Yes
src/test/java/org/apache/tika/mime/PatternsTest.java,0.1-incubating,72,0,0,0,0,52,52,52,72,72,72,1,1,50,144,0.347222222,No
src/main/java/org/apache/tika/parser/txt/TXTParser.java,0.1-incubating,54,0,1,1,0.5,19,18,15.5,5,3,2.5,2,1,68,9,7.555555556,Yes
src/main/java/org/apache/tika/exception/TikaException.java,0.1-incubating,32,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,No
src/main/java/org/apache/tika/mime/Magic.java,0.1-incubating,79,2,-3,0,-3,0,0,0,0,0,0,1,1,63,3,21,Yes
src/main/java/org/apache/tika/mime/MimeTypesFactory.java,0.1-incubating,85,2,4,4,4,8,8,8,7,7,7,1,1,58,10,5.8,No
src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,0.1-incubating,49,2,-44,0,-44,18,18,18,0,0,0,1,1,68,44,1.545454545,Yes
src/main/java/org/apache/tika/metadata/TikaMimeKeys.java,0.1-incubating,29,2,0,0,0,0,0,0,0,0,0,0,0,78,0,0,No
src/main/java/org/apache/tika/parser/AutoDetectParser.java,0.1-incubating,174,2,10,6,3.333333333,18,13,7,26,20,8.666666667,3,1,60,42,1.428571429,No
src/main/java/org/apache/tika/parser/pdf/PDF2XHTML.java,0.1-incubating,144,2,-24,0,-12,8,8,4.5,22,12,11,2,1,56,68,0.823529412,Yes
src/main/java/org/apache/tika/parser/ErrorParser.java,0.1-incubating,38,0,0,6,0,19,18,15.5,6,6,3,2,1,68,12,5.666666667,No
src/test/java/org/apache/tika/parser/AutoDetectParserTest.java,0.1-incubating,215,0,2,2,2,18,18,18,5,5,5,1,1,60,8,7.5,No
src/main/java/org/apache/tika/mime/HexCoDec.java,0.1-incubating,119,2,0,0,0,0,0,0,0,0,0,0,0,63,0,0,Yes
src/main/java/org/apache/tika/utils/ParseUtils.java,0.1-incubating,254,2,1,1,1,18,18,18,6,6,6,1,1,63,11,5.727272727,Yes
src/test/java/org/apache/tika/metadata/TestMetadata.java,0.1-incubating,211,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,No
src/main/java/org/apache/tika/parser/html/HtmlParser.java,0.1-incubating,145,2,-48,17,-6.857142857,40,18,8.714285714,122,78,17.42857143,7,2,68,292,0.232876712,Yes
