"Rule ID","Description","Severity","Tags"
"76","Source files should not have any duplicated blocks","MAJOR","pitfall"
"950","Try-with-resources should be used","CRITICAL","cert,java8,pitfall"
"951","Cookies should be ""secure""","MINOR","cwe,owasp-a2,owasp-a6"
"952","Return values should not be ignored when they contain the operation status code","MINOR","cert,cwe,error-handling,misra"
"953","Resources should be closed","BLOCKER","cert,cwe,denial-of-service,leak"
"954","Classes should not be empty","MINOR","clumsy"
"955","""equals(Object obj)"" should test argument type","MINOR",""
"957","Packages containing only ""package-info.java"" should be removed","MINOR","unused"
"958","""getClass"" should not be used for synchronization","MAJOR","cert,multi-threading"
"959","""enum"" fields should not be publicly mutable","MINOR","bad-practice"
"960","""Stream"" call chains should be simplified when possible","MINOR","clumsy"
"961","Modifiers should be declared in the correct order","MINOR","convention"
"965","Map values should not be replaced unconditionally","MAJOR","suspicious"
"966","Methods should not have identical implementations","MAJOR","confusing,duplicate,suspicious"
"969","""java.nio.Files#delete"" should be preferred","MAJOR","api-design,error-handling"
"971","Assignments should not be redundant","MAJOR","redundant"
"972","""throws"" declarations should not be superfluous","MINOR","clumsy,redundant,unused"
"973","The diamond operator (""<>"") should be used","MINOR","clumsy"
"974","""toArray"" should be passed an array of the proper type","MINOR",""
"976","Class variable fields should not have public accessibility","MINOR","cwe"
"978","The non-serializable super class of a ""Serializable"" class should have a no-argument constructor","MINOR","serialization"
"979","Class names should not shadow interfaces or superclasses","CRITICAL","pitfall"
"980","Inappropriate ""Collection"" calls should not be made","MAJOR","cert"
"981","Short-circuit logic should be used in boolean contexts","BLOCKER","cert"
"983","Child class methods named for parent class methods should be overrides","MAJOR","pitfall"
"985","String function use should be optimized for single characters","MAJOR","clumsy,performance"
"986","Future keywords should not be used as names","BLOCKER","obsolete,pitfall"
"987","Classes from ""sun.*"" packages should not be used","MAJOR","lock-in,pitfall"
"988","String literals should not be duplicated","CRITICAL","design"
"989","Exception types should not be tested using ""instanceof"" in catch blocks","MAJOR","cert,clumsy,error-handling"
"990","Subclasses that add fields should override ""equals""","MINOR","suspicious"
"992","Static fields should not be updated in constructors","MAJOR",""
"994","Array designators ""[]"" should be located after the type in method signatures","MINOR","convention"
"996","URIs should not be hardcoded","MINOR","android,cert"
"997","""finalize"" should not set fields to ""null""","MINOR","clumsy,performance"
"999","Array designators ""[]"" should be on the type, not the variable","MINOR","convention"
